nom_liste;nuance;voix;Annee;Election;Tour;Inscrits;Votants;Exprimes;Participation;Region;Code;Clef;Date
;FN;342018;2017;Presidentielles;2;730335;526133;471536;0.6456434376005532;Ile-de-France;11;Presidentielles22017;07/05/2017
;NPA;129518;2017;Presidentielles;2;730335;526133;471536;0.6456434376005532;Ile-de-France;11;Presidentielles22017;07/05/2017
;NPA;367823;2017;Presidentielles;2;766977;517764;466648;0.6084250244792216;Ile-de-France;11;Presidentielles22017;07/05/2017
;DLF;98825;2017;Presidentielles;2;766977;517764;466648;0.6084250244792216;Ile-de-France;11;Presidentielles22017;07/05/2017
;FN;419145;2017;Presidentielles;2;785586;578131;521818;0.6642404523502201;Ile-de-France;11;Presidentielles22017;07/05/2017
;NPA;102673;2017;Presidentielles;2;785586;578131;521818;0.6642404523502201;Ile-de-France;11;Presidentielles22017;07/05/2017
;UDI;382650;2017;Presidentielles;2;795235;595794;530159;0.6666696008098235;Ile-de-France;11;Presidentielles22017;07/05/2017
;REM;147509;2017;Presidentielles;2;795235;595794;530159;0.6666696008098235;Ile-de-France;11;Presidentielles22017;07/05/2017
;DLF;369762;2017;Presidentielles;2;880940;652931;578983;0.6572331827366222;Ile-de-France;11;Presidentielles22017;07/05/2017
;DIV;209221;2017;Presidentielles;2;880940;652931;578983;0.6572331827366222;Ile-de-France;11;Presidentielles22017;07/05/2017
;FI;503661;2017;Presidentielles;2;950821;725644;652799;0.6865635066957924;Ile-de-France;11;Presidentielles22017;07/05/2017
;ECO;149138;2017;Presidentielles;2;950821;725644;652799;0.6865635066957924;Ile-de-France;11;Presidentielles22017;07/05/2017
;FI;590963;2017;Presidentielles;2;983522;756676;689995;0.7015552270310171;Ile-de-France;11;Presidentielles22017;07/05/2017
;UDI;99032;2017;Presidentielles;2;983522;756676;689995;0.7015552270310171;Ile-de-France;11;Presidentielles22017;07/05/2017
;LDLF;849257;2017;Presidentielles;2;1301537;1021639;947027;0.7276220345637504;Ile-de-France;11;Presidentielles22017;07/05/2017
;LREG;97770;2017;Presidentielles;2;1301537;1021639;947027;0.7276220345637504;Ile-de-France;11;Presidentielles22017;07/05/2017
;;68173;2017;Presidentielles;2;170405;130494;111800;0.656084035092867;Centre-Val de Loire;24;Presidentielles22017;07/05/2017
;;43627;2017;Presidentielles;2;170405;130494;111800;0.656084035092867;Centre-Val de Loire;24;Presidentielles22017;07/05/2017
;LDIV;90376;2017;Presidentielles;2;228984;170963;147734;0.6451717150543269;Centre-Val de Loire;24;Presidentielles22017;07/05/2017
;LVEC;57358;2017;Presidentielles;2;228984;170963;147734;0.6451717150543269;Centre-Val de Loire;24;Presidentielles22017;07/05/2017
;;100789;2017;Presidentielles;2;245294;190727;166685;0.679531500974341;Centre-Val de Loire;24;Presidentielles22017;07/05/2017
;;65896;2017;Presidentielles;2;245294;190727;166685;0.679531500974341;Centre-Val de Loire;24;Presidentielles22017;07/05/2017
;;122420;2017;Presidentielles;2;301455;230239;203116;0.6737854737854738;Centre-Val de Loire;24;Presidentielles22017;07/05/2017
;;80696;2017;Presidentielles;2;301455;230239;203116;0.6737854737854738;Centre-Val de Loire;24;Presidentielles22017;07/05/2017
;;201211;2017;Presidentielles;2;428840;330328;290649;0.6777562727357522;Centre-Val de Loire;24;Presidentielles22017;07/05/2017
;;89438;2017;Presidentielles;2;428840;330328;290649;0.6777562727357522;Centre-Val de Loire;24;Presidentielles22017;07/05/2017
;FI;195004;2017;Presidentielles;2;452621;348978;308739;0.6821137331232974;Centre-Val de Loire;24;Presidentielles22017;07/05/2017
;RDG;113735;2017;Presidentielles;2;452621;348978;308739;0.6821137331232974;Centre-Val de Loire;24;Presidentielles22017;07/05/2017
;SOC;36345;2017;Presidentielles;2;95258;72079;62473;0.6558294316487854;Bourgogne-Franche-Comte;27;Presidentielles22017;07/05/2017
;REM;26128;2017;Presidentielles;2;95258;72079;62473;0.6558294316487854;Bourgogne-Franche-Comte;27;Presidentielles22017;07/05/2017
;ECO;62722;2017;Presidentielles;2;159382;121212;104668;0.6567115483555233;Bourgogne-Franche-Comte;27;Presidentielles22017;07/05/2017
;DVG;41946;2017;Presidentielles;2;159382;121212;104668;0.6567115483555233;Bourgogne-Franche-Comte;27;Presidentielles22017;07/05/2017
;DVG;63541;2017;Presidentielles;2;179187;141900;122882;0.685775195745227;Bourgogne-Franche-Comte;27;Presidentielles22017;07/05/2017
;DLF;59341;2017;Presidentielles;2;179187;141900;122882;0.685775195745227;Bourgogne-Franche-Comte;27;Presidentielles22017;07/05/2017
;;79268;2017;Presidentielles;2;190316;149254;129156;0.6786397360179911;Bourgogne-Franche-Comte;27;Presidentielles22017;07/05/2017
;;49888;2017;Presidentielles;2;190316;149254;129156;0.6786397360179911;Bourgogne-Franche-Comte;27;Presidentielles22017;07/05/2017
;LR;88939;2017;Presidentielles;2;241891;184902;161590;0.6680281614446176;Bourgogne-Franche-Comte;27;Presidentielles22017;07/05/2017
;MDM;72651;2017;Presidentielles;2;241891;184902;161590;0.6680281614446176;Bourgogne-Franche-Comte;27;Presidentielles22017;07/05/2017
;LDIV;159645;2017;Presidentielles;2;360646;283391;248766;0.6897788967574852;Bourgogne-Franche-Comte;27;Presidentielles22017;07/05/2017
;LDVD;89121;2017;Presidentielles;2;360646;283391;248766;0.6897788967574852;Bourgogne-Franche-Comte;27;Presidentielles22017;07/05/2017
;LDIV;158304;2017;Presidentielles;2;368314;283690;248239;0.673987412913981;Bourgogne-Franche-Comte;27;Presidentielles22017;07/05/2017
